id,name,genre,year
tt0004047,Half Breed,Drama,1913
tt0004049,Hamlet,Drama,1914
tt0004052,The Hazards of Helen,Action,1914
tt0004058,Hearts United,Drama,1914
tt0004061,Hearts and Flowers,Drama,1914
tt0004063,Hearts of Oak,Drama,1914
"tt0004066,Sealed Orders,""Drama,Mystery"",1914"
"tt0004078,Her Luck in London,""Crime,Drama"",1914"
"tt0004095,""His Holiness, the Late Pope Pius X, and the Vatican"",Documentary,1914"
"tt0004097,His Last Dollar,""Comedy,Drama"",1914"
"tt0004099,The New Wizard of Oz,""Adventure,Comedy,Family"",1914"
tt0004112,Hombre o mujer,Comedy,1914
tt0004114,Homenaje a Lanuza,Documentary,1914
tt0004118,The Hoosier Schoolmaster,Drama,1914
"tt0004121,Der Hund von Baskerville,""Crime,Horror,Mystery"",1914"
tt0004125,The House Next Door,Drama,1914
tt0004126,The House of Bondage,Drama,1914
tt0004130,The Human Bloodhound,Drama,1914
tt0004134,Hypocrites,Drama,1915
tt0004136,I kammerherrens klæder,Comedy,1914
"tt0004138,The Idol of Paris,""Crime,Drama"",1914"
tt0004142,Imar the Servitor,Drama,1914
"tt0004150,In the Land of the Head Hunters,""Drama,History"",1914"
tt0004152,In the Name of the Prince of Peace,War,1914
"tt0004155,The Indian Wars,""History,Western"",1914"
tt0004162,La intrusa,Drama,1914
tt0004163,The Invisible Power,Drama,1914
"tt0004164,""Ireland, a Nation"",""Drama,History"",1914"
tt0004167,Jane Eyre,Drama,1914
tt0004169,Jess,Drama,1914
tt0004170,Jess of the Mountain Country,Drama,1914
tt0004175,John Barleycorn,Drama,1914
"tt0004177,""Joliet Prison, Joliet, Ill."",Documentary,1914"
tt0004178,Joseph and His Coat of Many Colors,Drama,1914
tt0004179,Joseph in the Land of Egypt,Drama,1914
tt0004180,The Judge's Wife,Drama,1914
tt0004181,Judith of Bethulia,Drama,1914
tt0004182,The Jungle,Drama,1914
tt0004184,The Kangaroo,Drama,1914
tt0004185,Kate,Drama,1914
tt0004188,The Key to Yesterday,Drama,1914
tt0004192,The King of the Bowery,Drama,1914
tt0004199,The Borrowed Babies,Comedy,1915
tt0004201,The Ladies' War,Comedy,1914
tt0004205,The Land of the Lost,Drama,1914
"tt0004207,The Last Egyptian,""Adventure,Drama,Romance"",1914"
"tt0004208,The Last Volunteer,""Drama,War"",1914"
tt0004214,Lena Rivers,Drama,1914;
tt0004215,Lena Rivers,Drama,1914;
"tt0004221,Life in a Western Penitentiary,""Documentary,Western"",1914";
